Info 0    [14:1:38.74] Starting TS Server
Info 1    [14:1:38.74] Version: 3.7.3
Info 2    [14:1:38.74] Arguments: /usr/bin/node /home/mxjxn/.yarn/bin/tsserver --logFile /home/mxjxn/workspace/mxjxn.github.io/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/f1e2cbd14ed0bc9c9eb7b2bad3e8048d/tscancellation*
Info 3    [14:1:38.74] Platform: linux NodeVersion: 8 CaseSensitive: true
Info 4    [14:1:38.96] Search path: /home/mxjxn/workspace/mxjxn.github.io
Info 5    [14:1:38.98] For info: /home/mxjxn/workspace/mxjxn.github.io/static.config.js :: No config files found.
Info 6    [14:1:38.106] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [14:1:43.513] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 5407ms
Info 8    [14:1:43.513] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [14:1:43.513] 	Files (137)

Info 10   [14:1:43.514] -----------------------------------------------
Info 11   [14:1:46.844] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [14:1:46.922] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 78ms
Info 13   [14:1:46.922] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [14:1:47.911] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 15   [14:1:47.957] Elapsed:: 46ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 16   [14:1:47.974] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.accepts.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 17   [14:1:48.12] Elapsed:: 38ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.accepts.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 18   [14:1:48.30] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/accepts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 19   [14:1:48.30] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/accepts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 20   [14:1:48.30] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 21   [14:1:48.68] Elapsed:: 38ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 22   [14:1:48.89] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/LICENSE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 23   [14:1:48.89] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/LICENSE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 24   [14:1:48.89] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/README.md :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 25   [14:1:48.89] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/README.md :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 26   [14:1:48.89] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/index.d.ts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 27   [14:1:48.107] Elapsed:: 18ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/index.d.ts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 28   [14:1:48.107] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/package.json :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 29   [14:1:48.127] Elapsed:: 19ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/package.json :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 30   [14:1:48.127] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.accepts.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 31   [14:1:48.169] Elapsed:: 42ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.accepts.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 32   [14:1:48.192] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/accepts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 33   [14:1:48.193] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/accepts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 34   [14:1:48.193] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/accepts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 35   [14:1:48.193] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/accepts/accepts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 36   [14:1:48.193] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 37   [14:1:48.228] Elapsed:: 35ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 38   [14:1:48.263] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.acorn.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 39   [14:1:48.321] Elapsed:: 58ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/.acorn.DELETE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 40   [14:1:48.342] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn/acorn :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 41   [14:1:48.342] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn/acorn :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 42   [14:1:48.343] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 43   [14:1:48.383] Elapsed:: 40ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 44   [14:1:48.401] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn/LICENSE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 45   [14:1:48.401] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn/LICENSE :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 46   [14:1:48.401] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn/README.md :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 47   [14:1:48.401] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn/README.md :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 48   [14:1:48.401] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn/index.d.ts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 49   [14:1:48.424] Elapsed:: 23ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn/index.d.ts :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 50   [14:1:48.425] DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn/package.json :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 51   [14:1:48.441] Elapsed:: 16ms DirectoryWatcher:: Triggered with /home/mxjxn/.cache/typescript/3.7/node_modules/@types/acorn/package.json :: WatchInfo: /home/mxjxn/.cache/typescript/3.7/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
